序号,院校代码,院校,年份,口径,专业/学科,总分线,官方URL,复核方法,结论
292,10486,武汉大学,2024,自划线-分培养单位复试线,金融学(学硕),350,https://wdyz.whu.edu.cn/info/1026/6373.htm,官方PDF/网页表格核录（分培养单位口径）,通过
293,10486,武汉大学,2025,自划线-分培养单位复试线,金融学(学硕),340,https://wdyz.whu.edu.cn/info/1026/7293.htm,官方PDF/网页表格核录（分培养单位口径）,通过
294,10486,武汉大学,2024,自划线-分培养单位复试线,金融(专硕),338,https://wdyz.whu.edu.cn/info/1026/6373.htm,官方PDF/网页表格核录（分培养单位口径）,通过
295,10486,武汉大学,2025,自划线-分培养单位复试线,金融(专硕),370,https://wdyz.whu.edu.cn/info/1026/7293.htm,官方PDF/网页表格核录（分培养单位口径）,通过
296,10486,武汉大学,2024,自划线-分培养单位复试线,法学(学硕),376,https://wdyz.whu.edu.cn/info/1026/6373.htm,官方PDF/网页表格核录（分培养单位口径）,通过
297,10486,武汉大学,2025,自划线-分培养单位复试线,法学(学硕),335,https://wdyz.whu.edu.cn/info/1026/7293.htm,官方PDF/网页表格核录（分培养单位口径）,通过
298,10288,南京理工大学,2024,分专业复试线,计算机科学与技术(学硕),350,https://gs.njust.edu.cn/c3/64/c14687a312164/page.htm,官方网页表格逐字核录（分专业口径）,通过
299,10288,南京理工大学,2025,分专业复试线,计算机科学与技术(学硕),335,https://gs.njust.edu.cn/zsw/63/17/c4585a353047/page.htm,官方网页表格逐字核录（分专业口径）,通过
300,10288,南京理工大学,2026,分专业复试线,计算机科学与技术(学硕),330,https://gs.njust.edu.cn/zsw/84/58/c4585a361560/page.htm,官方网页表格逐字核录（分专业口径）,通过
301,10288,南京理工大学,2025,分专业复试线,信息与通信工程(学硕),320,https://gs.njust.edu.cn/zsw/63/17/c4585a353047/page.htm,官方网页表格逐字核录（分专业口径）,通过
302,10288,南京理工大学,2026,分专业复试线,信息与通信工程(学硕),330,https://gs.njust.edu.cn/zsw/84/58/c4585a361560/page.htm,官方网页表格逐字核录（分专业口径）,通过
303,10288,南京理工大学,2025,分专业复试线,机械工程(学硕),305,https://gs.njust.edu.cn/zsw/63/17/c4585a353047/page.htm,官方网页表格逐字核录（分专业口径）,通过
304,10288,南京理工大学,2026,分专业复试线,机械工程(学硕),350,https://gs.njust.edu.cn/zsw/84/58/c4585a361560/page.htm,官方网页表格逐字核录（分专业口径）,通过
305,10288,南京理工大学,2024,分专业复试线,计算机技术(专硕),355,https://gs.njust.edu.cn/c3/64/c14687a312164/page.htm,官方网页表格逐字核录（分专业口径）,通过
306,10288,南京理工大学,2025,分专业复试线,计算机技术(专硕),340,https://gs.njust.edu.cn/zsw/63/17/c4585a353047/page.htm,官方网页表格逐字核录（分专业口径）,通过
307,10288,南京理工大学,2026,分专业复试线,计算机技术(专硕),360,https://gs.njust.edu.cn/zsw/84/58/c4585a361560/page.htm,官方网页表格逐字核录（分专业口径）,通过
308,10288,南京理工大学,2024,分专业复试线,软件工程(专硕),355,https://gs.njust.edu.cn/c3/64/c14687a312164/page.htm,官方网页表格逐字核录（分专业口径）,通过
309,10288,南京理工大学,2025,分专业复试线,软件工程(专硕),340,https://gs.njust.edu.cn/zsw/63/17/c4585a353047/page.htm,官方网页表格逐字核录（分专业口径）,通过
310,10288,南京理工大学,2026,分专业复试线,软件工程(专硕),360,https://gs.njust.edu.cn/zsw/84/58/c4585a361560/page.htm,官方网页表格逐字核录（分专业口径）,通过
311,10288,南京理工大学,2024,分专业复试线,金融学(学硕),346,https://gs.njust.edu.cn/c3/64/c14687a312164/page.htm,官方网页表格逐字核录（分专业口径）,通过
312,10288,南京理工大学,2025,分专业复试线,金融学(学硕),354,https://gs.njust.edu.cn/zsw/63/17/c4585a353047/page.htm,官方网页表格逐字核录（分专业口径）,通过
313,10288,南京理工大学,2026,分专业复试线,金融学(学硕),381,https://gs.njust.edu.cn/zsw/84/58/c4585a361560/page.htm,官方网页表格逐字核录（分专业口径）,通过
314,10288,南京理工大学,2024,分专业复试线,金融(专硕),366,https://gs.njust.edu.cn/c3/64/c14687a312164/page.htm,官方网页表格逐字核录（分专业口径）,通过
315,10288,南京理工大学,2025,分专业复试线,金融(专硕),352,https://gs.njust.edu.cn/zsw/63/17/c4585a353047/page.htm,官方网页表格逐字核录（分专业口径）,通过
316,10288,南京理工大学,2026,分专业复试线,金融(专硕),365,https://gs.njust.edu.cn/zsw/84/58/c4585a361560/page.htm,官方网页表格逐字核录（分专业口径）,通过
317,10288,南京理工大学,2024,分专业复试线,法学(学硕),345,https://gs.njust.edu.cn/c3/64/c14687a312164/page.htm,官方网页表格逐字核录（分专业口径）,通过
318,10288,南京理工大学,2025,分专业复试线,法学(学硕),323,https://gs.njust.edu.cn/zsw/63/17/c4585a353047/page.htm,官方网页表格逐字核录（分专业口径）,通过
319,10288,南京理工大学,2026,分专业复试线,法学(学硕),343,https://gs.njust.edu.cn/zsw/84/58/c4585a361560/page.htm,官方网页表格逐字核录（分专业口径）,通过
320,10293,南京邮电大学,2024,分专业复试线,信息与通信工程(学硕),307,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,官方公告原文核录（分学院/专业口径）,通过
321,10293,南京邮电大学,2025,分专业复试线,信息与通信工程(学硕),300,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,官方公告原文核录（分学院/专业口径）,通过
322,10293,南京邮电大学,2026,分专业复试线,信息与通信工程(学硕),315,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,官方公告原文核录（分学院/专业口径）,通过
323,10293,南京邮电大学,2024,分专业复试线,计算机科学与技术(学硕),341,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,官方公告原文核录（分学院/专业口径）,通过
324,10293,南京邮电大学,2025,分专业复试线,计算机科学与技术(学硕),289,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,官方公告原文核录（分学院/专业口径）,通过
325,10293,南京邮电大学,2026,分专业复试线,计算机科学与技术(学硕),303,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,官方公告原文核录（分学院/专业口径）,通过
326,10293,南京邮电大学,2024,分专业复试线,计算机技术(专硕),339,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,官方公告原文核录（分学院/专业口径）,通过
327,10293,南京邮电大学,2025,分专业复试线,计算机技术(专硕),339,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,官方公告原文核录（分学院/专业口径）,通过
328,10293,南京邮电大学,2026,分专业复试线,计算机技术(专硕),339,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,官方公告原文核录（分学院/专业口径）,通过
329,10293,南京邮电大学,2024,分专业复试线,金融学(学硕),342,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,官方公告原文核录（分学院/专业口径）,通过
330,10293,南京邮电大学,2025,分专业复试线,金融学(学硕),323,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,官方公告原文核录（分学院/专业口径）,通过
331,10293,南京邮电大学,2026,分专业复试线,金融学(学硕),356,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,官方公告原文核录（分学院/专业口径）,通过
332,10293,南京邮电大学,2024,分专业复试线,教育学(学硕),376,https://yzb.njupt.edu.cn/2024/0622/c7813a269521/page.htm,官方公告原文核录（分学院/专业口径）,通过
333,10293,南京邮电大学,2025,分专业复试线,教育学(学硕),341,https://yzb.njupt.edu.cn/2025/0526/c7813a284312/page.htm,官方公告原文核录（分学院/专业口径）,通过
334,10293,南京邮电大学,2026,分专业复试线,教育学(学硕),347,https://yzb.njupt.edu.cn/2026/0529/c7813a302875/page.htm,官方公告原文核录（分学院/专业口径）,通过
335,10486,武汉大学,2026,自划线-分培养单位复试线,计算机科学与技术(学硕),295,https://wdyz.whu.edu.cn/wuhandaxue2026nianshuoshiyanjiushengzhaoshengkaoshifushijibenfenshuxianjixiangguanshuoming_3.20wanzhenggongbu.pdf,官方PDF/网页表格核录（分培养单位口径）,通过
336,10486,武汉大学,2026,自划线-分培养单位复试线,信息与通信工程(学硕),350,https://wdyz.whu.edu.cn/wuhandaxue2026nianshuoshiyanjiushengzhaoshengkaoshifushijibenfenshuxianjixiangguanshuoming_3.20wanzhenggongbu.pdf,官方PDF/网页表格核录（分培养单位口径）,通过
337,10486,武汉大学,2026,自划线-分培养单位复试线,机械工程(学硕),310,https://wdyz.whu.edu.cn/wuhandaxue2026nianshuoshiyanjiushengzhaoshengkaoshifushijibenfenshuxianjixiangguanshuoming_3.20wanzhenggongbu.pdf,官方PDF/网页表格核录（分培养单位口径）,通过
338,10486,武汉大学,2026,自划线-分培养单位复试线,计算机技术(专硕),350,https://wdyz.whu.edu.cn/wuhandaxue2026nianshuoshiyanjiushengzhaoshengkaoshifushijibenfenshuxianjixiangguanshuoming_3.20wanzhenggongbu.pdf,官方PDF/网页表格核录（分培养单位口径）,通过
339,10486,武汉大学,2026,自划线-分培养单位复试线,金融学(学硕),380,https://wdyz.whu.edu.cn/wuhandaxue2026nianshuoshiyanjiushengzhaoshengkaoshifushijibenfenshuxianjixiangguanshuoming_3.20wanzhenggongbu.pdf,官方PDF/网页表格核录（分培养单位口径）,通过
340,10486,武汉大学,2026,自划线-分培养单位复试线,金融(专硕),380,https://wdyz.whu.edu.cn/wuhandaxue2026nianshuoshiyanjiushengzhaoshengkaoshifushijibenfenshuxianjixiangguanshuoming_3.20wanzhenggongbu.pdf,官方PDF/网页表格核录（分培养单位口径）,通过
341,10486,武汉大学,2026,自划线-分培养单位复试线,法学(学硕),360,https://wdyz.whu.edu.cn/wuhandaxue2026nianshuoshiyanjiushengzhaoshengkaoshifushijibenfenshuxianjixiangguanshuoming_3.20wanzhenggongbu.pdf,官方PDF/网页表格核录（分培养单位口径）,通过
